brand,nama_produk,gender,warna,harga
Nike,Air Max Plus Men's Sneakers Shoes - Black,Pria,Hitam,2389000
Nike,P-6000 Men's Sneakers Shoes - White,Pria,Putih,1429000
ASICS,FX GEL-1130 Unisex Sneakers Shoes - Swamp Green/Pure Silver,Unisex,Hijau,1799000
Nike,Vomero 5 Boys' Grade School Sneakers Shoes - Pale Ivory/Pale Ivory,Anak Laki-Laki,Netral,1499000
Nike,P-6000 Men's Sneakers Shoes - Lt Orewood Brn/Lt British Tan,Pria,Coklat,1429000
ADIDAS,Samba OG Men's Sneakers - Core Black,Pria,Hitam,2200000
NEW BALANCE,740 Boys Sneakers Shoes - Light Grey,Anak Laki-Laki,Abu-abu,1199000
NEW BALANCE,530 Boys Sneakers Shoes - Beige,Anak Laki-Laki,Netral,1099000
Nike,P-6000 Boys' Grade School Sneakers Shoes - Summit White/Apricot Agate,Anak Laki-Laki,Putih,1329000
CONVERSE,Run Star Trainer Unisex Sneakers - Black/Egret/Honey,Unisex,Hitam,1299000
Nike,Cortez Women's Sneakers Shoes - Sail,Wanita,Netral,1499000
CROCS,The Simpsons Classic Unisex Clog - Multi,Unisex,Multicolor,1499000
PUMA,Palermo Premium Unisex Lifestyle Shoes - Beige,Unisex,Netral,1699000
NEW BALANCE,740 Unisex Sneakers Shoes - White/Blue,Unisex,Putih,1899000
PUMA,Speedcat OG Unisex Lifestyle Shoes - Red,Unisex,Merah,1899000
ON,Cloud 6 Women's Sneakers Shoes - White,Wanita,Putih,2500000
ASICS,GEL-NYC Unisex Sneakers Shoes - Black/Black,Unisex,Hitam,2199000
Nike,FX Air Max Plus Men's Sneakers Shoes - Black/Diffused Blue,Pria,Hitam,2489000
ASICS,Gel-Kayano 14 Unisex Sneakers Shoes - Birch,Unisex,Abu-abu,2299000
CROCS,Peanuts Classic Unisex Clog - Multi,Unisex,Multicolor,1499000
ASICS,Gel-Kayano 14 Women's Sneakers Shoes - Cloud Grey,Wanita,Abu-abu,2299000
ASICS,FX GEL-1130 Unisex Sneakers Shoes - CeMen'st Grey/Clay Grey,Unisex,Abu-abu,1699000
Nike,Shox R4 Men's Sneakers Shoes - Metallic Silver/Metallic Silver,Pria,Abu-abu,2379000
